Metabolite,G_SD_exp,G_SD_stat,GX_SD_exp,GX_SD_trans,GX_SD_stat,X_SD_exp,X_SD_stat,A_SD_exp,A_SD_stat,C_SD_exp,C_SD_stat,C_SD_exp (extracellular),C_SD_stat (extracellular)
Unknown 002,1192066.667,1293598.367,1403605.133,1302726.3,1557725.967,1269850.867,1503483.767,1154383.967,1457904.733,346873.4667,429931.4667,,
Unknown 003,1909791.067,390225.2667,1165053.267,1862905.5,819509.2333,899735.1667,353358.0333,2569989.333,259837.7,25555.66667,16980.16667,,
Unknown 004,37726.53333,58954.2,72723,32090.13333,63918.56667,44744.76667,74170.23333,47510.06667,53246.23333,55639,51821.23333,,
Unknown 005,453127.3,449830.5333,433248.6667,363933.8667,368071.7333,383525.1667,350157.8333,328990.6667,415783.4,224833.5333,270792.5667,,
Unknown 006,700087.3,784690.0667,752835.5667,795967.0667,949060.5,894817.1333,692395,901010.8667,667986.5667,929308.2333,1182085.2,,
Unknown 007,416802.3,261554.5,424070.4,381348.2333,2338879.4,397852.6,790647.4667,464040.6,302701.8667,178888.9333,380127.5333,,
Unknown 008,2498096,1841173.4,378518.5,2178579.233,1186355.267,2101759.5,1033284.233,1580249.9,2605404.8,377342,338167.0667,,
Unknown 009,519085.9667,755910.3667,467779.6,297260.3,220799.1,283875.9333,690801.7667,701550.9667,783305.9,1043070.4,358977.9333,,
Unknown 010,314016.6333,519019.3333,203158.5333,277977.8667,934428.6333,235944.3667,500086.4333,223146.3667,524523.7,498352.3333,825098.0333,,
Unknown 011,383248.6667,266625.9,352263.4,286367.6333,752854.5333,119797.3667,89144.7,628607.5,254725.6667,502765.7,584583.4,,
Unknown 012,573698.1333,388004.7667,223823.6,194453.8,239635.6,229858.0333,175610.2667,178634.4,61989.7,548987.0667,311994.3,,
Unknown 013,289848.5667,233963.5333,214742.7,472649.3,556826.0667,275275.8,571318.8333,613988.3,589400.5333,191551.6333,132558.6333,,
Unknown 014,165297.4333,57745,129050.6667,132267.0333,212901.6,123402.4333,137925.4667,141233.3333,81574.1,93527.73333,71897.1,,
Unknown 015,440771.7333,116267.6,358362.0667,209036.4667,127349.3333,195780,360148.3667,250274.5,109073.9333,153815.0667,143928.8667,,
Unknown 016,159029.5333,408076.3667,178618.7667,1670016.067,3221695.133,262985.5,279551.8333,229728.9,421963.6333,139259.1667,157255.5,,
Unknown 017,159031.3667,284662.5667,176683.8333,135067.5333,400888.7333,170689.6,246331.2333,218840.3,467971.0667,140905.7667,141808.4333,,
Unknown 018,164385.8333,260798.1667,216336.6333,584181.1667,492590.1333,313068.4,334907.6333,189321.9,251531.7667,138649.9,120080.3333,,
Unknown 019,162326.7333,231314.7667,180190.2,147386.6667,55542.76667,147792.5,532402.9667,80350.43333,566468.3,20931.96667,69765.53333,,
Unknown 020,622434.4,91363.96667,247302.5667,1346220.367,511635.1667,415202.7,45352,735896.2667,1932472.333,53578.66667,38379.73333,,
Unknown 021,471258.7667,1207009.2,332093.0667,535952.1667,1469427.433,392724.2,1040936.7,200332.7333,1231347,332118.9,96842.43333,,
Unknown 022,313775.5333,208961.6667,161481.6667,359167.4,186641.1333,498502.8333,190749.1,221302.8,260399.5333,338763.6333,833855.2667,,
